region_id,observed_min,source_node_id,target_node_id,source_snap_m,target_snap_m,network_time_min,connector_time_min,raw_time_min,calibrated_time_min,reachable
REG001,3.58,3010067903,3010079502,35.3821054579119,27.00343316173199,1.9814047211187102,0.07486264634357266,2.056267367462283,5.334707259581055,True
REG002,5.57,3010350500,3020373800,28.410992294341845,28.080658110396424,1.7957483950750772,0.06778998048568592,1.863538375560763,5.122678532210484,True
REG003,8.38,3010035703,3020373800,49.23616649828261,28.080658110396424,2.9121790381667796,0.09278018953041484,3.0049592276971944,6.3784004051105585,True
REG004,4.72,3010248000,3010094002,353.2137560740463,209.08379102916777,5.375524950863487,0.6747570565238568,6.050282007387343,9.728679504480551,True
REG005,7.75,3010168900,3010079502,114.93556885542304,27.00343316173199,5.924710699510616,0.170326802420586,6.095037501931202,9.777916780395032,True
REG006,3.88,3010324200,3010079502,39.35121790751189,27.00343316173199,2.4400925376063736,0.07962558128309266,2.5197181188894664,5.84456761870259,True
REG007,6.63,3010751300,3020373800,178.14391844865818,28.080658110396424,3.7597196171013794,0.2474694918708655,4.007189108972245,7.480992828611068,True
REG008,6.15,3010541200,3010316700,71.93420556221308,51.87253902701249,3.7055326490628175,0.14856809350707068,3.854100742569888,7.312574308993028,True
REG009,7.1,3010081801,3010095901,179.30931586665247,201.17154583927405,3.8273234841020063,0.45657703404711175,4.283900518149118,7.785413908998752,True
REG010,19.72,3010466100,3010095901,1456.1388446296858,201.17154583927405,18.76913664364791,1.9887724685627517,20.757909112210662,25.909117262750197,True
REG011,18.65,3010858600,2790246201,139.1951334083104,16.039856963878307,17.309553064310162,0.1862819884466264,17.49583505275679,22.320381574411336,True
REG012,25.57,3010833100,3010095901,510.83721231924966,201.17154583927405,18.136969440324112,0.8544105097902285,18.99137995011434,23.96568920656199,True
REG013,29.62,3010270500,3010095901,309.54537363757254,201.17154583927405,21.05141219835968,0.6128603033722159,21.664272501731897,26.90624319652596,True
REG014,17.57,3010894800,3010095901,169.54167242364085,201.17154583927405,12.817094250993154,0.4448558619154978,13.261950112908652,17.66251859919206,True
REG015,24.72,3010804700,3010095901,131.6137998638019,201.17154583927405,15.123732827318918,0.39934241484369104,15.523075242162609,20.1500710885773,True
REG016,15.15,3010664600,3020373800,187.62461394979536,28.080658110396424,12.70096349813456,0.25884632647223016,12.95980982460679,17.330122210958187,True
REG017,18.63,3010736400,3010095901,911.4150063777737,201.17154583927405,6.306137772760302,1.3351038626604572,7.641241635420759,11.478956626265367,True
REG018,9.92,3020053103,3010079502,25.990131693592154,27.00343316173199,6.242998813244437,0.06359227782638897,6.3065910910708265,10.01065518593223,True
REG019,10.92,3020186002,3010079502,321.00763903362554,27.00343316173199,5.391549949179735,0.41761328663442904,5.8091632358141645,9.46341528150397,True
REG020,10.0,3020069202,3010079502,106.59253428004516,27.00343316173199,6.167462802567032,0.16031516093013254,6.327777963497164,10.033963695737617,True
REG021,8.12,3020038102,3020373800,51.31440633427959,28.080658110396424,2.9763174795677156,0.0952740773336112,3.071591556901327,6.451705245360582,True
REG022,11.3,3020018701,3020373800,142.43203327340035,28.080658110396424,4.732106057835022,0.20461522966055612,4.936721287495578,8.503607656394754,True
REG023,5.07,3020137502,3010316700,35.006289879670085,51.87253902701249,2.9810080171455584,0.10425459468801908,3.0852626118335773,6.46674530939298,True
REG024,6.5,3020133903,3010079502,25.550525067023056,27.00343316173199,2.726520304188377,0.06306474987450605,2.789585054062883,6.141458824637262,True
REG025,3.35,3020096203,3020373800,54.04114903728896,28.080658110396424,0.7949317355792408,0.09854616857722245,0.8934779041564632,4.055476938952281,True
REG026,4.65,3020057801,3020373800,49.30796073109801,28.080658110396424,1.8442339148409588,0.09286634260979332,1.937100257450752,5.203606845310822,True
REG027,7.85,3020463400,3020373800,197.0157122239238,28.080658110396424,4.663424404784306,0.27011564440118424,4.93354004918549,8.50010785128658,True
REG028,14.27,3020289100,3010094002,273.73891629390897,209.08379102916777,8.862649089533639,0.5793872487876921,9.44203633832133,13.460081548595548,True
REG029,8.9,3020451300,3010094002,280.8364440340068,209.08379102916777,4.181714838710093,0.5879042820758095,4.769619120785903,8.319772005106643,True
REG030,17.6,3020088302,2141109600,154.2271943303806,40.14259807637042,12.030227143534583,0.2332437508881012,12.263470894422685,16.564052427015337,True
REG031,17.58,3020137402,3010094002,403.5333759449017,209.08379102916777,10.794121275272367,0.7351406003688834,11.52926187564125,15.75632027244791,True
