entity_type,entity_id,entity_name,latitude,longitude,routing_node_id,snap_distance_m
region,REG001,문성동,36.81248193320866,127.15245274124776,3010067903,35.3821054579119
region,REG002,봉명동,36.80956304783411,127.13407236935416,3010350500,28.410992294341845
region,REG003,신방동,36.778184948435886,127.12804172444592,3010035703,49.23616649828261
region,REG004,신안동,36.83364063908362,127.18045922313335,3010248000,353.2137560740463
region,REG005,원성1동,36.814580970608056,127.18262722035948,3010168900,114.93556885542304
region,REG006,원성2동,36.80254458016072,127.15870504105992,3010324200,39.35121790751189
region,REG007,일봉동,36.79297658153805,127.1412156900161,3010751300,178.14391844865818
region,REG008,중앙동,36.80313710029991,127.14956915932152,3010541200,71.93420556221308
region,REG009,청룡동,36.77980600298734,127.1612757887867,3010081801,179.30931586665247
region,REG010,광덕면,36.67663679780431,127.0926710428433,3010466100,1456.1388446296858
region,REG011,동면,36.78106512378176,127.36716148969624,3010858600,139.1951334083104
region,REG012,병천면,36.7953833745412,127.31294501631324,3010833100,510.83721231924966
region,REG013,북면,36.83507046604773,127.27181671840962,3010270500,309.54537363757254
region,REG014,성남면,36.73215699327915,127.2365676930602,3010894800,169.54167242364085
region,REG015,수신면,36.7252090152881,127.28580528955833,3010804700,131.6137998638019
region,REG016,풍세면,36.73769028536493,127.12233147888554,3010664600,187.62461394979536
region,REG017,목천읍,36.788450810903846,127.21256620599344,3010736400,911.4150063777737
region,REG018,백석동,36.82743549208723,127.11631308662336,3020053103,25.990131693592154
region,REG019,부성1동,36.849586710639,127.14912906309776,3020186002,321.00763903362554
region,REG020,부성2동,36.84347363525581,127.12212930506746,3020069202,106.59253428004516
region,REG021,불당1동,36.805094992192544,127.10909939859872,3020038102,51.31440633427959
region,REG022,불당2동,36.81271901550309,127.10329780907152,3020018701,142.43203327340035
region,REG023,성정1동,36.81341969348885,127.14200518131776,3020137502,35.006289879670085
region,REG024,성정2동,36.82406324383314,127.14019055225825,3020133903,25.550525067023056
region,REG025,쌍용1동,36.80143524093214,127.13021046485736,3020096203,54.04114903728896
region,REG026,쌍용2동,36.79424094117239,127.11845436422604,3020057801,49.30796073109801
region,REG027,쌍용3동,36.80792362782496,127.12249771216268,3020463400,197.0157122239238
region,REG028,입장면,36.91045298517836,127.22579438109317,3020289100,273.73891629390897
region,REG029,성거읍,36.87384657924223,127.19515828229638,3020451300,280.8364440340068
region,REG030,성환읍,36.93212735078411,127.12836411340896,3020088302,154.2271943303806
region,REG031,직산읍,36.88535002127431,127.13790477485458,3020137402,403.5333759449017
ems_station,EMS001,119구조구급센터119안전센터,36.7998732459904,127.165347212185,3010087801,82.42787604183599
ems_station,EMS002,독립119안전센터,36.7818719998049,127.230398111736,3010629300,283.8113138586612
ems_station,EMS003,병천119안전센터,36.7642350401251,127.301040174552,3010126304,44.52554626391892
ems_station,EMS004,북면지역대,36.82733685998013,127.27274052961089,3010120001,21.312103384809966
ems_station,EMS005,성남지역대,36.74350900779302,127.23245481341974,3010259200,95.01670989035115
ems_station,EMS006,청당119안전센터,36.7858138117939,127.156146123355,3010073101,32.44453862654982
ems_station,EMS007,풍세119안전센터,36.7225417483936,127.119764389021,3010449300,42.88514235494768
ems_station,EMS008,119구조구급센터119안전센터,36.8625791015043,127.116121587203,3020436100,79.2753882046315
ems_station,EMS009,두정119안전센터,36.8278419115655,127.14628036103,3020004202,27.409479712114692
ems_station,EMS010,불당119안전센터,36.8178315847693,127.107724097429,3020036403,74.62924642355141
ems_station,EMS011,서부119안전센터,36.812261613658,127.138790899248,3020127701,12.997296508305888
ems_station,EMS012,성거119안전센터,36.8833100924507,127.207879713469,3020175204,56.370425812794274
ems_station,EMS013,성환119안전센터,36.9276617167886,127.131170952803,3020204800,36.510455717213446
ems_station,EMS014,쌍용119안전센터,36.7975959000237,127.118315482405,3020057201,30.95138793085099
ems_station,EMS015,입장119안전센터,36.9090362182185,127.227266069173,3020179104,113.19025112780581
ems_station,EMS016,직산119안전센터,36.8965294797538,127.165678221396,3020008004,25.383705221280987
hospital,A2100022,의료법인박애의료재단박애병원,36.99308383421509,127.08907896026508,2140841400,33.45719667815817
hospital,A2100028,의료법인백송의료재단굿모닝병원,36.99057342,127.1204637,2141109600,40.14259807637042
hospital,A2100045,경기도의료원안성병원,37.01736702955601,127.26033944589189,2319197100,120.73188297234259
hospital,A2100255,성심중앙병원,36.98400219,126.92773248728592,2140039213,26.03996930404046
hospital,A2100305,안성성모병원,37.00610345894585,127.2708442991513,2319171000,120.54862478717949
hospital,A2100309,의료법인갈렌의료재단박병원,37.0482647,127.0570038575,2140076204,73.38447416809174
hospital,A2113246,의료법인양진의료재단평택성모병원,37.008809910565546,127.07371568769604,2140946000,78.39454543983429
hospital,A2300013,의료법인 건명의료재단 중앙제일병원,36.85848747628605,127.44050791116804,2790246201,16.039856963878307
hospital,A2302011,재단법인베스티안재단베스티안병원,36.6364279,127.3216412,2710206803,91.23570930813891
hospital,A2400001,학교법인동은학원순천향대학교부속천안병원,36.8023585,127.1356668,3010316700,51.87253902701249
hospital,A2400002,단국대학교의과대학부속병원,36.84295215169462,127.17327537305154,3010094002,209.08379102916777
hospital,A2400004,의료법인 예당의료재단 예산종합병원,36.69111403683895,126.83810397105952,2980072217,197.37598902321656
hospital,A2400005,충청남도천안의료원,36.775359921186194,127.17992025598448,3010095901,201.17154583927405
hospital,A2400012,의료법인영서의료재단천안충무병원,36.79739687904163,127.1315782043232,3020373800,28.080658110396424
hospital,A2400015,예산명지병원,36.71373026149238,126.83416958942117,2980404700,70.68653007474427
hospital,A2400039,현대병원,36.78311829920936,127.00097027728452,2882255100,24.58907901296196
hospital,A2402257,아산충무병원,36.77929250489765,127.0199488549524,2882023703,52.59824177407756
hospital,A2402812,나은필병원,36.81915027,127.1593264,3010079502,27.00343316173199
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,연세다움병원,36.9935991,127.0948885,2140705900,41.828185266274915
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,서울제일병원,36.9881472,126.9316706,2141242800,29.716152334665114
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjE0ODEjNDEjJDEjJDQjJDgz,허리편한병원,36.9944861,127.1423426,2319347400,32.427406474170226
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,안성동인병원,37.0052083,127.2668374,2319201100,25.15903192853081
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,평택21세기병원,36.9902785,127.1144865,2140323501,36.34578672927658
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,평택우리병원,36.9988773,127.1135773,2140332202,21.65850801140598
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,평택비전병원,37.0024639,127.1145754,2140086407,46.45805131993851
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDgjJDgz,스마일본병원,37.0016056,127.1147039,2140215323,29.008478803520518
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDIjJDgz,서울제일병원,37.0798032,127.0623912,2140023408,29.905274092687087
hospital,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQwMyQyNjEyMjIjNjEjJDEjJDAjJDgz,서울대본병원,36.9893294,127.1204482,2140372503,30.09818679321661
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,새로나병원,36.8127543,127.1694354,3010367800,209.5315256937113
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5MiQyNjE4MzIjNjEjJDEjJDAjJDgz,미래한국병원,36.7830015,127.0161428,2881835804,28.42478854875163
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,예일병원,36.793049,127.1217497,3020070804,37.82099543309958
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,천안우리병원,36.7810029,127.1557347,3010137403,67.10066069225012
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,천안해울병원,36.8335588,127.1370774,3020122103,31.124271119095962
hospital,JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQyNjEyMjIjNzEjJDEjJDgjJDgz,위라이브병원,36.7881082,127.086602,2882088900,40.97269011904163
