region_id,observed_min,source_node_id,target_node_id,source_snap_m,target_snap_m,network_time_min,connector_time_min,raw_time_min,calibrated_time_min,reachable
REG001,6.33,3010087801,3010067903,82.42787604183599,35.3821054579119,3.209899380965194,0.14137197779969746,3.3512713587648917,5.062269628465029,True
REG002,2.57,3020127701,3010350500,12.997296508305888,28.410992294341845,2.811980938085243,0.04968994656317728,2.8616708846484205,4.841028875844608,True
REG003,5.48,3010073101,3010035703,32.44453862654982,49.23616649828261,4.823874545498026,0.09801684614979891,4.921891391647825,5.7720016988491505,True
REG004,7.95,3010087801,3010248000,82.42787604183599,353.2137560740463,6.081760757684477,0.5227699585390587,6.604530716223536,6.532353067441348,True
REG005,5.55,3010087801,3010168900,82.42787604183599,114.93556885542304,3.7270661862215078,0.23683613387671082,3.9639023200982186,5.339105420359532,True
REG006,3.48,3010087801,3010324200,82.42787604183599,39.35121790751189,1.1703695063441586,0.14613491273921744,1.3165044190833761,4.142798768158636,True
REG007,5.72,3010073101,3010751300,32.44453862654982,178.14391844865818,5.321245639178179,0.2527061484902496,5.573951787668428,6.0666548709685255,True
REG008,6.33,3010087801,3010541200,82.42787604183599,71.93420556221308,3.3164197849349923,0.18523449792485888,3.5016542828598514,5.130224691964648,True
REG009,4.52,3010073101,3010081801,32.44453862654982,179.30931586665247,1.4872878262177949,0.2541046253918427,1.7413924516096375,4.33479725072783,True
REG010,6.23,3010449300,3010466100,42.88514235494768,1456.1388446296858,8.889767025408121,1.79882878438156,10.688595809789682,8.377861155810594,True
REG011,10.85,3010126304,3010858600,44.52554626391892,139.1951334083104,18.73504113073878,0.2204648156066752,18.955505946345454,12.113514034328624,True
REG012,7.47,3010126304,3010833100,44.52554626391892,510.83721231924966,6.725471922536348,0.6664353102998022,7.39190723283615,6.888152913112208,True
REG013,3.12,3010120001,3010270500,21.312103384809966,309.54537363757254,1.2824282975180097,0.397028972426859,1.6794572699448687,4.306809969404371,True
REG014,5.47,3010259200,3010894800,95.01670989035115,169.54167242364085,2.2466406072961616,0.3174700587767904,2.564110666072952,4.706567309347283,True
REG015,11.18,3010126304,3010804700,44.52554626391892,131.6137998638019,15.318764965538456,0.21136721535326497,15.530132180891721,10.565655504896423,True
REG016,4.12,3010449300,3010664600,42.88514235494768,187.62461394979536,4.650708240510204,0.27661170756569164,4.927319948075895,5.7744547559299395,True
REG017,3.92,3010629300,3010736400,283.8113138586612,911.4150063777737,5.848312575401965,1.434271584283722,7.282584159685687,6.838751982636737,True
REG018,4.83,3020036403,3020053103,74.62924642355141,25.990131693592154,2.0516198839216515,0.12074325374057227,2.1723631376622237,4.529544363895312,True
REG019,9.43,3020004202,3020186002,27.409479712114692,321.00763903362554,5.023352881643617,0.4181005424948883,5.441453424138505,6.006781485998395,True
REG020,6.12,3020036403,3020069202,74.62924642355141,106.59253428004516,3.6082574157937075,0.21746613684431584,3.8257235526380233,5.2766651734128285,True
REG021,6.08,3020057201,3020038102,30.95138793085099,51.31440633427959,2.8649069884869682,0.09871895311815669,2.963625941605125,4.887100345802362,True
REG022,3.3,3020036403,3020018701,74.62924642355141,142.43203327340035,1.9931217709427103,0.2604735356363421,2.2535953065790526,4.566251571380313,True
REG023,2.15,3020127701,3020137502,12.997296508305888,35.006289879670085,0.6223308402126834,0.05760430366557116,0.6799351438782545,3.8551457265729088,True
REG024,4.57,3020004202,3020133903,27.409479712114692,25.550525067023056,1.212046481296132,0.06355200573496529,1.2755984870310972,4.124314188031916,True
REG025,5.85,3020127701,3020096203,12.997296508305888,54.04114903728896,2.78455747051148,0.08044613465471381,2.865003605166194,4.842534866207375,True
REG026,1.38,3020057201,3020057801,30.95138793085099,49.30796073109801,0.7006889630993477,0.09631121839433879,0.7970001814936865,3.9080450973799206,True
REG027,5.9,3020057201,3020463400,30.95138793085099,197.0157122239238,2.646333433932444,0.27356052018572974,2.919893954118174,4.867338727224153,True
REG028,0.65,3020179104,3020289100,113.19025112780581,273.73891629390897,1.0001593872978514,0.4643150009060577,1.464474388203909,4.2096634651189975,True
REG029,4.07,3020175204,3020451300,56.370425812794274,280.8364440340068,2.025457153102015,0.4046482438161612,2.4301053969181763,4.64601298358523,True
REG030,8.85,3020204800,3020088302,36.510455717213446,154.2271943303806,4.420930479715057,0.22888518005711284,4.6498156597721705,5.649056066905988,True
REG031,10.12,3020008004,3020137402,25.383705221280987,403.5333759449017,3.6471273412959184,0.5147004973994193,4.161827838695338,5.428544040238803,True
