episode,seed,reward,dispatch_response_improvement_min,mean_ems_time,mean_hospital_time,mean_total_time,weighted_ems_time,weighted_hospital_time,weighted_total_time,max_ems_time,max_hospital_time,selected_action_indices,selected_policies
534,42,0.7745034316315929,0.0356736742774606,5.295483870967741,10.912914642839256,16.208398513806998,5.8214151748001814,12.738650342067533,18.560065516867713,11.18,29.62,"[52, 12, 27]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz"", ""target_name"": ""SG삼성조은병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS013"", ""target_name"": ""성환119안전센터"", ""target_region_id"": ""REG030"", ""target_region_name"": ""성환읍""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG019"", ""target_name"": ""부성1동"", ""target_region_id"": ""REG019"", ""target_region_name"": ""부성1동""}]"
535,42,0.7991656607858957,0.0,5.599677419354838,10.345471095677723,15.94514851503256,6.034316313600623,12.465413299835328,18.49972961343595,11.18,29.62,"[53, 45, 41]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDgjJDgz"", ""target_name"": ""이화병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz"", ""target_name"": ""삼성스카이병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz"", ""target_name"": ""서울프라임병원"", ""target_region_id"": null, ""target_region_name"": null}]"
536,42,0.8989883591693761,0.0,5.265170274394114,10.728329015198552,15.993499289592668,5.8270612018601655,12.572845713192303,18.39990691505247,11.18,29.62,"[47, 30, 50]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4OSQ0NjE0ODEjODEjJDEjJDIjJDgz"", ""target_name"": ""서울우리병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG025"", ""target_name"": ""쌍용1동"", ""target_region_id"": ""REG025"", ""target_region_name"": ""쌍용1동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz"", ""target_name"": ""천안21세기병원"", ""target_region_id"": null, ""target_region_name"": null}]"
537,42,0.2967993158966273,0.0802010389502385,5.30953667865867,11.594193548387098,16.90373022704577,5.817718036654236,13.264578960621222,19.082296997275456,11.18,29.62,"[6, 5, 21]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS007"", ""target_name"": ""풍세119안전센터"", ""target_region_id"": ""REG016"", ""target_region_name"": ""풍세면""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS006"", ""target_name"": ""청당119안전센터"", ""target_region_id"": ""REG009"", ""target_region_name"": ""청룡동""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG007"", ""target_name"": ""일봉동"", ""target_region_id"": ""REG007"", ""target_region_name"": ""일봉동""}]"
538,42,0.839107062709064,0.0356736742774606,4.904525113103792,11.594193548387098,16.498718661490887,5.2308829251690225,13.264578960621222,18.49546188579024,10.85,29.62,"[25, 30, 12]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면"", ""target_region_id"": ""REG015"", ""target_region_name"": ""수신면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG025"", ""target_name"": ""쌍용1동"", ""target_region_id"": ""REG025"", ""target_region_name"": ""쌍용1동""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS013"", ""target_name"": ""성환119안전센터"", ""target_region_id"": ""REG030"", ""target_region_name"": ""성환읍""}]"
539,42,0.9986971732818972,0.0,5.599677419354838,10.26534495124071,15.86502237059555,6.034316313600623,12.265881787339325,18.300198100939948,11.18,29.62,"[37, 49, 32]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""마디손병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz"", ""target_name"": ""두정이진병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz"", ""target_name"": ""새로나병원"", ""target_region_id"": null, ""target_region_name"": null}]"
540,42,0.6934235285844736,0.0306886569409906,4.976350365169635,11.594193548387098,16.570543913556733,5.371581441957143,13.264578960621222,18.636160402578362,11.18,29.62,"[6, 22, 19]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS007"", ""target_name"": ""풍세119안전센터"", ""target_region_id"": ""REG016"", ""target_region_name"": ""풍세면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG008"", ""target_name"": ""중앙동"", ""target_region_id"": ""REG008"", ""target_region_name"": ""중앙동""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG004"", ""target_name"": ""신안동"", ""target_region_id"": ""REG004"", ""target_region_name"": ""신안동""}]"
541,42,0.331951103683329,0.0097741241179697,5.599677419354838,11.100907360674752,16.70058478002959,6.034316313600623,12.942401981055868,18.976718294656486,11.18,29.62,"[42, 45, 11]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjNjEjJDEjJDQjJDgz"", ""target_name"": ""천안다나힐병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDYjJDgz"", ""target_name"": ""삼성스카이병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS012"", ""target_name"": ""성거119안전센터"", ""target_region_id"": ""REG029"", ""target_region_name"": ""성거읍""}]"
542,42,0.9280686891174753,0.0083272476232864,5.30471554719749,10.903044755594616,16.207760302792103,5.64393497465041,12.73521885807725,18.379153832727656,11.18,29.62,"[14, 37, 16]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS015"", ""target_name"": ""입장119안전센터"", ""target_region_id"": ""REG028"", ""target_region_name"": ""입장면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""마디손병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG001"", ""target_name"": ""문성동"", ""target_region_id"": ""REG001"", ""target_region_name"": ""문성동""}]"
543,42,0.451172711773526,0.0210374574795855,5.599677419354838,11.08868306517315,16.688360484527987,6.034316313600623,12.834443706327281,18.868760019927905,11.18,29.62,"[3, 50, 1]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS004"", ""target_name"": ""북면지역대"", ""target_region_id"": ""REG013"", ""target_region_name"": ""북면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz"", ""target_name"": ""천안21세기병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS002"", ""target_name"": ""독립119안전센터"", ""target_region_id"": ""REG017"", ""target_region_name"": ""목천읍""}]"
544,42,1.588335186351987,0.0,4.882801978072861,10.903044755594616,15.785846733667476,4.975341229792611,12.73521885807725,17.710560087869858,11.18,29.62,"[37, 24, 22]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz"", ""target_name"": ""마디손병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG011"", ""target_name"": ""동면"", ""target_region_id"": ""REG011"", ""target_region_name"": ""동면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG008"", ""target_name"": ""중앙동"", ""target_region_id"": ""REG008"", ""target_region_name"": ""중앙동""}]"
545,42,0.6096011892217406,0.0306886569409906,5.599677419354838,10.845235985361072,16.44491340471591,6.034316313600623,12.685666428340475,18.719982741941095,11.18,29.62,"[32, 6, 35]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz"", ""target_name"": ""새로나병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS007"", ""target_name"": ""풍세119안전센터"", ""target_region_id"": ""REG016"", ""target_region_name"": ""풍세면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz"", ""target_name"": ""천안해울병원"", ""target_region_id"": null, ""target_region_name"": null}]"
546,42,0.24550705235969714,0.057057570052107404,5.599677419354838,11.346236395124912,16.94591381447975,6.034316313600623,13.076129478313634,19.110445791914255,11.18,29.62,"[2, 32, 7]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS003"", ""target_name"": ""병천119안전센터"", ""target_region_id"": ""REG012"", ""target_region_name"": ""병천면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz"", ""target_name"": ""새로나병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS008"", ""target_name"": ""119구조구급센터119안전센터"", ""target_region_id"": ""REG031"", ""target_region_name"": ""직산읍""}]"
547,42,0.7991779596003994,0.0,5.295483870967741,10.837646287199869,16.133130158167614,5.8214151748001814,12.678302139821266,18.499717314621446,11.18,29.62,"[27, 50, 49]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG019"", ""target_name"": ""부성1동"", ""target_region_id"": ""REG019"", ""target_region_name"": ""부성1동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz"", ""target_name"": ""천안21세기병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNjEjJDEjJDAjJDgz"", ""target_name"": ""두정이진병원"", ""target_region_id"": null, ""target_region_name"": null}]"
548,42,0.2516763738458535,0.044421262105391296,5.265170274394114,11.594193548387098,16.859363822781212,5.8270612018601655,13.264578960621222,19.091640162481383,11.18,29.62,"[10, 7, 30]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS011"", ""target_name"": ""서부119안전센터"", ""target_region_id"": ""REG023"", ""target_region_name"": ""성정1동""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS008"", ""target_name"": ""119구조구급센터119안전센터"", ""target_region_id"": ""REG031"", ""target_region_name"": ""직산읍""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG025"", ""target_name"": ""쌍용1동"", ""target_region_id"": ""REG025"", ""target_region_name"": ""쌍용1동""}]"
549,42,0.3086051381755391,0.0957039993750955,5.295483870967741,11.594193548387098,16.88967741935484,5.8214151748001814,13.264578960621222,19.0859941354214,11.18,29.62,"[5, 9, 27]","[{""policy"": ""ambulance_existing"", ""target_id"": ""EMS006"", ""target_name"": ""청당119안전센터"", ""target_region_id"": ""REG009"", ""target_region_name"": ""청룡동""}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS010"", ""target_name"": ""불당119안전센터"", ""target_region_id"": ""REG022"", ""target_region_name"": ""불당2동""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG019"", ""target_name"": ""부성1동"", ""target_region_id"": ""REG019"", ""target_region_name"": ""부성1동""}]"
550,42,0.784611440223378,0.0097741241179697,5.30953667865867,10.860143321295778,16.16967999995445,5.817718036654236,12.706339921462204,18.524057958116437,11.18,29.62,"[21, 43, 11]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG007"", ""target_name"": ""일봉동"", ""target_region_id"": ""REG007"", ""target_region_name"": ""일봉동""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz"", ""target_name"": ""연세나무병원"", ""target_region_id"": null, ""target_region_name"": null}, {""policy"": ""ambulance_existing"", ""target_id"": ""EMS012"", ""target_name"": ""성거119안전센터"", ""target_region_id"": ""REG029"", ""target_region_name"": ""성거읍""}]"
