model_name,model_path,seed,total_timesteps,reward,mean_ems_time,mean_hospital_time,mean_total_time,weighted_ems_time,weighted_hospital_time,weighted_total_time,max_ems_time,max_hospital_time,has_repeated_action,selected_action_indices,step_rewards,selected_policies
cheonan_dqn_50000_seed42,models/RL/cheonan_dqn_50000_seed42.zip,42,50000,1.7567607282598878,4.889032258064515,10.848247068703982,15.737279326768496,4.846073087919942,12.696061458042019,17.542134545961957,10.12,29.62,False,"[50, 10, 14]","[0.5685175025792084, 0.5920649489895347, 0.5961782766911448]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz"", ""target_name"": ""서울대정병원""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG011"", ""target_name"": ""동면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면""}]"
cheonan_dqn_50000_seed123,models/RL/cheonan_dqn_50000_seed123.zip,123,50000,1.7531553761265002,4.91258064516129,10.856635269370763,15.769215914532051,4.846738823185391,12.699001074909956,17.545739898095345,10.85,29.62,False,"[37, 14, 30]","[0.5655778857112672, 0.5961782766911448, 0.5913992137240882]","[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz"", ""target_name"": ""앙즈로여성병원""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG031"", ""target_name"": ""직산읍""}]"
cheonan_dqn_50000_seed2026,models/RL/cheonan_dqn_50000_seed2026.zip,2026,50000,1.7458165295742525,4.91258064516129,10.860143321295778,15.772723966457068,4.846738823185391,12.706339921462204,17.553078744647593,10.85,29.62,False,"[14, 42, 30]","[0.5961782766911448, 0.5582390391590195, 0.5913992137240882]","[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면""}, {""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNDEjJDEjJDQjJDgz"", ""target_name"": ""연세나무병원""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG031"", ""target_name"": ""직산읍""}]"
