method,evaluation_units,reward_mean,reward_std,reward_min,reward_max,mean_ems_time,mean_hospital_time,mean_total_time,weighted_ems_time,weighted_hospital_time,weighted_total_time,max_ems_time,max_hospital_time,selected_policies
random,1000,0.8418635363469564,0.24177149795699382,0.1946742316422529,1.7141718442343716,5.20086649798066,11.013292647275756,16.21415914525642,5.616937619842213,12.840094118032681,18.45703173787489,11.159730000000003,29.62,
rule_greedy,1,1.7796424394047712,0.0,1.7796424394047712,1.7796424394047712,4.562580645161289,11.594193548387098,16.156774193548387,4.254673874195854,13.264578960621222,17.519252834817074,9.43,29.62,"[{""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG011"", ""target_name"": ""동면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG031"", ""target_name"": ""직산읍""}]"
dqn_5000,1,1.7567607282598878,0.0,1.7567607282598878,1.7567607282598878,4.889032258064515,10.848247068703982,15.737279326768496,4.846073087919942,12.696061458042019,17.542134545961957,10.12,29.62,"[{""policy"": ""hospital_upgrade"", ""target_id"": ""JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz"", ""target_name"": ""서울대정병원""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG015"", ""target_name"": ""수신면""}, {""policy"": ""ambulance_new_base"", ""target_id"": ""REG011"", ""target_name"": ""동면""}]"
dqn_50000_multi_seed,3,1.7519108779868802,0.0055772262758744025,1.7458165295742525,1.7567607282598878,4.9047311827956985,10.85500855312351,15.759739735919206,4.846516911430242,12.700467484804726,17.546984396234965,10.606666666666667,29.62,seed별 결과는 dqn_seed_evaluation.csv 참조
