step,action_index,policy,target_id,target_name,step_reward,cumulative_reward,weighted_total_time_before,weighted_total_time_after
1,14,ambulance_new_base,REG015,수신면,0.5961782766911448,0.5961782766911448,19.298895274221845,18.7027169975307
2,10,ambulance_new_base,REG011,동면,0.5920649489895382,1.188243225680683,18.7027169975307,18.110652048541162
3,30,ambulance_new_base,REG031,직산읍,0.5913992137240882,1.7796424394047712,18.110652048541162,17.519252834817074
