station_id,station_name,mean_wait_improvement_min,mean_wait_improvement_std,p95_wait_improvement_min,mean_response_improvement_min,waited_event_reduction
EMS007,풍세119안전센터,0.015040466006802852,0.001727754672730081,0.0,0.030688656940990693,21.0
EMS013,성환119안전센터,0.006330363947132311,0.0004646936954481299,0.0,0.0356736742774606,23.0
EMS016,직산119안전센터,0.005845116606098798,0.000539405040524728,0.0,0.03433901469123087,26.0
EMS006,청당119안전센터,0.003930826335275621,0.00026123527416820443,0.0,0.049512382009247936,61.333333333333336
EMS008,119구조구급센터119안전센터,0.003868627915709954,0.0008142188867633403,0.0,0.022210519148274283,20.0
EMS003,병천119안전센터,0.003538352343021823,0.002186582406303957,0.0,0.03484705090383322,9.0
EMS010,불당119안전센터,0.0033692448382835172,0.00043200434348362294,0.0,0.04619161736584765,37.333333333333336
EMS002,독립119안전센터,0.0033182015290209956,0.0006274603714437417,0.0,0.01644823738532401,14.333333333333334
EMS015,입장119안전센터,0.001999708419054868,0.0009949468800248865,0.0,0.008327247623286441,5.0
EMS011,서부119안전센터,0.0018419961763911526,0.0005963715845581549,0.0,0.02221074295711715,30.0
EMS012,성거119안전센터,0.0015980598063793118,0.0006646226789613521,0.0,0.009774124117969704,5.333333333333333
EMS004,북면지역대,0.0008878701406405629,0.0006069592855970972,0.0,0.004589220094261511,2.0
EMS005,성남지역대,0.0004943653748297241,0.0006157509178120621,0.0,0.00424783201881862,1.6666666666666667
EMS001,119구조구급센터119안전센터,0.0002781587625168257,0.0004442166858527628,0.0,0.0013755227968207013,2.3333333333333335
EMS014,쌍용119안전센터,6.0361870325593516e-05,0.00010402006277742215,0.0,6.036187032550563e-05,0.6666666666666666
EMS009,두정119안전센터,0.0,0.0,0.0,0.00018823623648126878,0.0
