seed,station_id,station_name,baseline_mean_wait_time_min,incremented_mean_wait_time_min,mean_wait_improvement_min,p95_wait_improvement_min,mean_response_improvement_min,waited_event_reduction,event_count
42,EMS001,119구조구급센터119안전센터,0.048536868582942,0.04850742580880481,2.944277413718943e-05,0.0,0.0017246044623115964,1,20980
42,EMS002,독립119안전센터,0.048536868582942,0.045110169762706466,0.003426698820235531,0.0,0.016753798703991407,15,20980
42,EMS003,병천119안전센터,0.048536868582942,0.043908785086675776,0.004628083496266221,0.0,0.04306374949849978,13,20980
42,EMS004,북면지역대,0.048536868582942,0.04757646313367506,0.0009604054492669337,0.0,0.004095871733187373,2,20980
42,EMS005,성남지역대,0.048536868582942,0.04825506920440409,0.0002817993785379086,0.0,0.002718364357568781,1,20980
42,EMS006,청당119안전센터,0.048536868582942,0.04475977668470471,0.0037770918982372864,0.0,0.050013353956087414,63,20980
42,EMS007,풍세119안전센터,0.048536868582942,0.03213364018395946,0.01640322839898254,0.0,0.0331509909170169,23,20980
42,EMS008,119구조구급센터119안전센터,0.048536868582942,0.04400009107215521,0.004536777510786787,0.0,0.019847218483185713,19,20980
42,EMS009,두정119안전센터,0.048536868582942,0.048536868582942,0.0,0.0,0.00037350622347620543,0,20980
42,EMS010,불당119안전센터,0.048536868582942,0.04557390711579188,0.0029629614671501173,0.0,0.0460729889930116,32,20980
42,EMS011,서부119안전센터,0.048536868582942,0.046259568449707064,0.002277300133234933,0.0,0.024718152314706643,37,20980
42,EMS012,성거119안전센터,0.048536868582942,0.04618693748218828,0.0023499311007537174,0.0,0.010534684608658473,6,20980
42,EMS013,성환119안전센터,0.048536868582942,0.04212164968605266,0.006415218896889334,0.0,0.03438631593148589,23,20980
42,EMS014,쌍용119안전센터,0.048536868582942,0.04835639521024581,0.00018047337269618685,0.0,0.0001804733726959995,1,20980
42,EMS015,입장119안전센터,0.048536868582942,0.045740504724758685,0.0027963638581833122,0.0,0.010556645394336428,5,20980
42,EMS016,직산119안전센터,0.048536868582942,0.0422880921177062,0.006248776465235799,0.0,0.03151041941562571,27,20980
123,EMS001,119구조구급센터119안전센터,0.042411049017701555,0.04162003035387827,0.0007910186638232855,0.0,0.0013362493982995716,5,20773
123,EMS002,독립119안전센터,0.042411049017701555,0.03976748131389937,0.0026435677038021826,0.0,0.014784989320130393,9,20773
123,EMS003,병천119안전센터,0.042411049017701555,0.03744512540065386,0.004965923617047695,0.0,0.03535282940828921,10,20773
123,EMS004,북면지역대,0.042411049017701555,0.040955746650535696,0.0014553023671658588,0.0,0.005595561016495054,3,20773
123,EMS005,성남지역대,0.042411049017701555,0.04239798975771369,1.3059259987867333e-05,0.0,0.004934749267216709,1,20773
123,EMS006,청당119안전센터,0.042411049017701555,0.038178593010144764,0.004232456007556791,0.0,0.05101636904810025,59,20773
123,EMS007,풍세119안전센터,0.042411049017701555,0.029313826008449447,0.013097223009252108,0.0,0.03516076773216792,18,20773
123,EMS008,119구조구급센터119안전센터,0.042411049017701555,0.038303665658960324,0.00410738335874123,0.0,0.02332823820631713,24,20773
